2.60,0
2.58,1000
2.58,2000
2.60,3000
2.65,4000
2.61,5000
2.59,6000
2.56,7000
2.55,8000
2.54,9000
2.53,10000
2.53,11000
2.53,12000
2.54,13000
2.53,14000
2.53,15000
2.64,16000
2.78,17000
2.72,18000
2.62,19000
2.58,20000
2.57,21000
2.58,22000
2.56,23000
2.56,24000
2.55,25000
2.56,26000
2.54,27000
2.55,28000
2.54,29000
2.55,30000
2.55,31000
2.54,32000
2.54,33000
2.54,34000
2.55,35000
2.54,36000
2.55,37000
2.55,38000
2.54,39000
2.54,40000
2.55,41000
2.57,42000
2.55,43000
2.55,44000
2.54,45000
2.55,46000
2.55,47000
2.56,48000
2.56,49000
2.56,0
2.57,1000
2.55,2000
2.54,3000
2.54,4000
2.53,5000
2.52,6000
2.51,7000
2.52,8000
2.52,9000
2.52,10000
2.51,11000
2.52,12000
2.51,13000
2.51,14000
2.52,15000
2.52,16000
2.52,17000
2.53,18000
2.53,19000
2.55,20000
2.53,21000
2.53,22000
2.52,23000
2.51,24000
2.50,25000
2.49,26000
2.48,27000
2.47,28000
2.47,29000
2.46,30000
2.46,31000
2.47,32000
2.47,33000
2.47,34000
2.46,35000
2.46,36000
2.47,37000
2.46,38000
2.46,39000
2.47,40000
2.46,41000
2.48,42000
2.46,43000
2.46,44000
2.48,45000
2.46,46000
2.44,47000
2.43,48000
2.43,49000
2.68,0
2.69,1000
2.70,2000
2.69,3000
2.68,4000
2.70,5000
2.70,6000
2.69,7000
2.68,8000
2.68,9000
2.68,10000
2.68,11000
2.77,12000
2.91,13000
2.94,14000
2.94,15000
2.95,16000
2.95,17000
2.95,18000
2.89,19000
2.81,20000
2.76,21000
2.73,22000
2.71,23000
2.70,24000
2.69,25000
2.69,26000
2.69,27000
2.69,28000
2.68,29000
2.68,30000
2.68,31000
2.68,32000
2.67,33000
2.67,34000
2.67,35000
2.68,36000
2.68,37000
2.68,38000
2.68,39000
2.68,40000
2.67,41000
2.67,42000
2.66,43000
2.66,44000
2.66,45000
2.66,46000
2.80,47000
2.87,48000
2.89,49000
2.70,0
2.70,1000
2.69,2000
2.70,3000
2.71,4000
2.73,5000
2.73,6000
2.73,7000
2.73,8000
2.73,9000
2.72,10000
2.71,11000
2.70,12000
2.71,13000
2.71,14000
2.70,15000
2.69,16000
2.68,17000
2.68,18000
2.68,19000
2.68,20000
2.68,21000
2.69,22000
2.68,23000
2.70,24000
2.70,25000
2.70,26000
2.70,27000
2.71,28000
2.73,29000
2.75,30000
2.76,31000
2.76,32000
2.72,33000
2.70,34000
2.69,35000
2.69,36000
2.72,37000
2.73,38000
2.72,39000
2.72,40000
2.73,41000
2.73,42000
2.72,43000
2.74,44000
2.72,45000
2.74,46000
2.74,47000
2.73,48000
2.74,49000
